0,4,Exposition,First Subject Group,Theme A,Period,Antecedent,
263,4,,,,Continuation,Fragmentation,
264,1,,,,,,
265,1,,,,,,
266,1,,,,,Cadential Extension,
267,1,,,,,,
268,1,,,,,,
269,1,,,,,,
270,1,,,,,,
271,1,,,,,,
272,1,,,,,Cadence,
273,1,,,,,,
274,1,,,Period,Antecedent,,
275,1,,,,,,
276,1,,,,,,
277,1,,,,,,
278,4,,,,Consequent,,
279,1,,,,,,
280,1,,,,,,
281,1,,,,,,
282,4,,,,Consequent (2nd),,
283,1,,,,,,
284,1,,,,,,
285,1,,,,,,
286,3,,,Period,Antecedent,,
287,1,,,,,,
288,1,,,,,,
289,1,,,,,,
290,3,,,,Consequent,,
291,1,,,,,,
292,1,,,,,,
293,1,,,,,,
294,1,,,,,,
295,1,,,,Cadential Extension,,
296,1,,,,,,
297,1,,,,,,
298,4,Coda,Theme A,Period,Antecedent,,
299,1,,,,,,
300,1,,,,,,
301,1,,,,,,
302,4,,,,Consequent,,
303,1,,,,,,
304,1,,,,,,
305,1,,,,,,
306,4,,,Sentence,Presentation,Basic Idea,
307,1,,,,,,
308,4,,,,,Basic Idea,
309,1,,,,,,
310,1,,,,,,
311,1,,,,,,
312,4,,,,,Basic Idea,
313,1,,,,,,
314,1,,,,,,
315,1,,,,,,
316,4,,,,Continuation,Fragmentation,
317,1,,,,,,
318,4,,,,,Fragmentation,
319,1,,,,,,
320,4,,,,,Cadential Extension,
321,1,,,,,,
322,1,,,,,,
323,1,,,,,,
324,1,,,,,,
325,1,,,,,,
326,1,,,,,Cadence,
327,4,,,Compound Period,Period,Antecedent,
328,4,,,,,Consequent,
329,4,,,,Period,Antecedent,
330,4,,,,,,
331,1,,,,,Consequent,
332,1,,,,,,
333,1,,,,,,
334,1,,,Compound Sentence,Presentation,Period,Antecedent
335,1,,,,,,
336,1,,,,,,Consequent
337,1,,,,,,
338,1,,,,,Period,Antecedent
339,1,,,,,,
340,1,,,,,,Consequent
341,1,,,,Continuation,Fragmentation,
342,1,,,,,Fragmentation,
343,1,,,,,Cadence,
,1,,,,,,
